d_dealerid,d_manager,d_email,d_address,d_phonenumber,d_nationkey
38,Carlos Williams,d.williams@randatmail.com,"3269 similarity ave new york, ny",052-6333-81,3
39,Bruce Sullivan,o.sullivan@randatmail.com,"3292 camry st newport, nj",826-5664-09,3
40,Max Kelly,h.kelly@randatmail.com,"3299 burgers rd meadows, mi",499-3706-13,3
41,Deanna Morris,t.morris@randatmail.com,"2240 waffles way toronto, canada",304-7268-88,3
42,Ted Spencer,j.spencer@randatmail.com,"9691 cinderella ave lyon, france",645-6593-77,3
43,Arthur Turner,n.turner@randatmail.com,"9760 waterbottle rd bayern, germany",166-6763-30,3
44,Stella Foster,k.foster@randatmail.com,"4331 compass way guangzhou, china",135-5832-53,3
45,Stella Moirrison ,d.morrison@randatmail.com,"6410 main st london, united kingdom",858-6866-59,3
46,Tyler Johnson,k.johnson@randatmail.com,"1237 fairfax rd los angeles, ca",004-7470-87,4
47,Sabrina Ellis,e.ellis@randatmail.com,"4983 adidas ave riverbank, ca",392-6140-16,4
48,Gianna Walker,t.walker@randatmail.com,"5240 nike way portland, or",578-2569-85,4
49,Stella Evans ,b.evans@randatmail.com,"4239 juggernaut dr seattle, wa",506-7725-32,4
50,Kimberly Cole,r.cole@randatmail.com,"4785 browntable ave rocky, co",381-5421-64,4
51,Chloe Murray ,j.murray@randatmail.com,"8978 goldenfence dr austin, tx",561-0693-00,4
52,Olivia Andrews ,a.andrews@randatmail.com,"7685 thegirl st miami, fl",204-0328-13,4
53,Kristian Chapman,r.chapman@randatmail.com,"3270 similarity ave new york, ny",514-3229-30,4
54,Sydney Gibson ,r.gibson@randatmail.com,"3293 camry st newport, nj",504-7161-54,4
55,Aiden Morris ,a.morris@randatmail.com,"3300 burgers rd meadows, mi",170-9209-75,4
56,Oscar Roberts ,a.roberts@randatmail.com,"2241 waffles way toronto, canada",995-9466-29,4
57,Vincent Craig,i.craig@randatmail.com,"9692 cinderella ave lyon, france",286-4604-58,4
58,Darcy Ellies,a.ellis@randatmail.com,"9761 waterbottle rd bayern, germany",952-9157-07,4
59,Oscar Richardson ,k.richardson@randatmail.com,"4332 compass way guangzhou, china",093-6766-07,4
60,Hailey Robinson,v.robinson@randatmail.com,"6411 main st london, united kingdom",212-5611-41,4
61,Tess Ellies ,v.ellis@randatmail.com,"1238 fairfax rd los angeles, ca",589-2843-21,5
62,Joyce Morgon ,m.morgan@randatmail.com,"4984 adidas ave riverbank, ca",682-5668-31,5
63,Natalie Parker,v.parker@randatmail.com,"5241 nike way portland, or",667-6857-72,5
64,Kelsey Taylor ,i.taylor@randatmail.com,"4240 juggernaut dr seattle, wa",683-2609-30,5
65,David Gibson ,v.gibson@randatmail.com,"4786 browntable ave rocky, co",283-1219-16,5
66,Kate Gibson,a.gibson@randatmail.com,"8976 goldenfence dr austin, tx",891-8660-59,5
67,Elian Moore,s.moore@randatmail.com,"7686 thegirl st miami, fl",327-5109-47,5
68,Tiana Cunnningham,j.cunningham@randatmail.com,"3271 similarity ave new york, ny",262-6635-08,5
69,Brianna Harper,e.harper@randatmail.com,"3294 camry st newport, nj",358-9783-82,5
70,Rafael Cunningham,r.cunningham@randatmail.com,"3301 burgers rd meadows, mi",470-6187-35,5
71,Justin Harrisonn,p.harrison@randatmail.com,"2242 waffles way toronto, canada",289-7604-70,5
72,Abigail Adam,r.adams@randatmail.com,"9693 cinderella ave lyon, france",364-1231-78,5
73,Ryan Adams,s.perry@randatmail.com,"9762 waterbottle rd bayern, germany",547-9522-49,5
74,Rafael Grant,c.grant@randatmail.com,"4333 compass way guangzhou, china",813-3585-61,5
75,Adison Clark,e.clark@randatmail.com,"6412 main st london, united kingdom",647-9635-74,5
76,Aiden Gibson,a.gibson@randatmail.com,"1239 fairfax rd los angeles, ca",052-8006-83,6
77,Isabella Payne,r.payne@randatmail.com,"4985 adidas ave riverbank, ca",387-3299-24,6
78,Adison Rogers,j.rogers@randatmail.com,"5242 nike way portland, or",061-0131-95,6
79,Kelvin West,o.west@randatmail.com,"4248 juggernaut dr seattle, wa",358-6609-62,6
80,Vanessa Hall,p.hall@randatmail.com,"4787 browntable ave rocky, co",120-8181-64,6
81,Vanessa Grant,a.grant@randatmail.com,"8977 goldenfence dr austin, tx",019-7869-00,6
82,Miranda Warren,a.warren@randatmail.com,"7687 thegirl st miami, fl",928-4030-37,6
83,Valeria Davis,a.davis@randatmail.com,"3272 similarity ave new york, ny",737-6614-46,6
84,Isabella Bennett,c.bennett@randatmail.com,"3295 camry st newport, nj",343-4047-84,6
85,Violet Montgomery ,a.montgomery@randatmail.com,"3302 burgers rd meadows, mi",454-7352-79,6
86,Abraham Sullivan,c.sullivan@randatmail.com,"2243 waffles way toronto, canada",434-1247-26,6
87,Steven Brooks,h.brooks@randatmail.com,"9694 cinderella ave lyon, france",900-2232-53,6
88,Jordan Kelly,m.kelly@randatmail.com,"9763 waterbottle rd bayern, germany",854-0744-66,6
89,Evelyn Riley,n.riley@randatmail.com,"4334 compass way guangzhou, china",179-6506-98,6
90,Ryan Wilson,t.wilson@randatmail.com,"6413 main st london, united kingdom",864-4117-17,6
91,Paul Walker,a.walker@randatmail.com,"1240 fairfax rd los angeles, ca",855-0058-20,7
92,Robert Mason,r.mason@randatmail.com,"4986 adidas ave riverbank, ca",073-5443-35,7
93,Sawyer Tucker,a.tucker@randatmail.com,"5243 nike way portland, or",665-7159-52,7
94,Clark Hunt,a.hunt@randatmail.com,"4243 juggernaut dr seattle, wa",687-8022-56,7
95,Ellia Johnson,t.johnson@randatmail.com,"4788 browntable ave rocky, co",445-0424-52,7
96,Adrian Grant,r.grant@randatmail.com,"8978 goldenfence dr austin, tx",703-4920-95,7
97,Roland Alexander,e.alexander@randatmail.com,"7688 thegirl st miami, fl",706-0357-28,7
98,James Thompson ,l.thompson@randatmail.com,"3273 similarity ave new york, ny",607-8887-84,7
99,Owen Dixon,c.dixon@randatmail.com,"3296 camry st newport, nj",302-6507-23,7
100,Paige Hawkins ,p.hawkins@randatmail.com,"3303 burgers rd meadows, mi",645-4808-70,7
101,Albert Ryan,c.ryan@randatmail.com,"2244 waffles way toronto, canada",351-1464-50,7
102,Agata Owens,r.owens@randatmail.com,"9695 cinderella ave lyon, france",716-3329-82,7
103,April Rogers,e.rogers@randatmail.com,"9764 waterbottle rd bayern, germany",375-4064-98,7
104,Connie Evans,j.evans@randatmail.com,"4335 compass way guangzhou, china",755-8027-52,7
105,Alisa Holmes,v.holmes@randatmail.com,"6414 main st london, united kingdom",523-1869-94,7
106,Clark Edwards,a.edwards@randatmail.com,"1241 fairfax rd los angeles, ca",701-1885-98,8
107,Hailey Barnes,a.barnes@randatmail.com,"4987 adidas ave riverbank, ca",731-9568-85,8
108,Miranda Brooks,m.brooks@randatmail.com,"5244 nike way portland, or",793-2216-27,8
109,Natalie Champan,b.chapman@randatmail.com,"4243 juggernaut dr seattle, wa",649-6419-80,8
110,Tess Tucker,c.tucker@randatmail.com,"4789 browntable ave rocky, co",350-3288-60,8
111,Audrey Thompson,h.thompson@randatmail.com,"8979 goldenfence dr austin, tx",582-3282-38,8
112,Rafael Henderson,w.henderson@randatmail.com,"7689 thegirl st miami, fl",784-9596-90,8
113,Adrian Hamilton,m.hamilton@randatmail.com,"3274 similarity ave new york, ny",330-4089-10,8
114,Albert Hawkins,m.hawkins@randatmail.com,"3297 camry st newport, nj",085-0015-33,8
115,Tess Montgomery,e.montgomery@randatmail.com,"3304 burgers rd meadows, mi",912-9994-32,8
116,Ryan Stewart,j.stewart@randatmail.com,"2245 waffles way toronto, canada",021-4124-71,8
117,Eric Carter,d.carter@randatmail.com,"9696 cinderella ave lyon, france",830-4693-67,8
118,Lilianna Hamilton,m.hamilton@randatmail.com,"9765 waterbottle rd bayern, germany",062-6216-16,8
119,Camila Hunt,b.hunt@randatmail.com,"4336 compass way guangzhou, china",448-8174-85,8
120,Patrick Roberts,j.roberts@randatmail.com,"6415 main st london, united kingdom",254-5753-56,8
121,Caroline Mitchell,t.mitchell@randatmail.com,"1242 fairfax rd los angeles, ca",220-4055-45,24
122,Roland Nelson,s.nelson@randatmail.com,"4988 adidas ave riverbank, ca",664-4127-50,24
123,Emily Harris,v.harris@randatmail.com,"5245 nike way portland, or",995-4510-74,24
124,John Moore,j.moore@randatmail.com,"4244 juggernaut dr seattle, wa",294-7038-21,24
125,Violet Bailey,d.bailey@randatmail.com,"4790 browntable ave rocky, co",826-4477-78,24
126,Adrian Morris,h.morris@randatmail.com,"8980 goldenfence dr austin, tx",206-4146-22,24
127,Arianna Murphy,a.murphy@randatmail.com,"7690 thegirl st miami, fl",078-0865-27,24
128,Maya Mitchell,n.mitchell@randatmail.com,"3275 similarity ave new york, ny",632-1384-79,24
129,Brianna Hill,c.hill@randatmail.com,"3298 camry st newport, nj",547-5751-39,24
130,Cherry Hamilton,j.hamilton@randatmail.com,"3305 burgers rd meadows, mi",318-6181-13,24
131,Hailey Adams,h.adams@randatmail.com,"2246 waffles way toronto, canada",893-1313-82,24
132,Wilson Chapman,s.chapman@randatmail.com,"9697 cinderella ave lyon, france",914-1823-25,24
133,Martin Sullivan,m.sullivan@randatmail.com,"9766 waterbottle rd bayern, germany",383-8928-21,24
134,Maddie West ,e.west@randatmail.com,"4337 compass way guangzhou, china",180-5411-93,24
135,Edith Farrell,s.farrell@randatmail.com,"6416 main st london, united kingdom",598-0000-47,24
136,Jasmine Armstrong,t.armstrong@randatmail.com,"1243 fairfax rd los angeles, ca",530-5436-43,25
137,Daniel Campbell,a.campbell@randatmail.com,"4989 adidas ave riverbank, ca",256-0615-91,25
138,Melanie Kelly,a.kelly@randatmail.com,"5246 nike way portland, or",865-2213-44,25
139,Bruce Caroll,j.carroll@randatmail.com,"4245 juggernaut dr seattle, wa",538-4679-34,25
140,Jordan Sullivam,a.sullivan@randatmail.com,"4791 browntable ave rocky, co",277-4268-76,25
141,Thomas Mason,p.mason@randatmail.com,"8981 goldenfence dr austin, tx",553-6542-19,25
142,Sydney Cole,f.cole@randatmail.com,"7691 thegirl st miami, fl",887-8116-65,25
143,Victor Cameron,a.cameron@randatmail.com,"3276 similarity ave new york, ny",555-9310-03,25
144,Jasmine Murray,m.murray@randatmail.com,"3299 camry st newport, nj",842-0636-22,25
145,Daisy Roberts ,j.roberts@randatmail.com,"3306 burgers rd meadows, mi",887-9644-57,25
146,Henry Harper,b.harper@randatmail.com,"2247 waffles way toronto, canada",465-9498-23,25
147,Alisa Ryan,s.ryan@randatmail.com,"9698 cinderella ave lyon, france",604-3413-70,25
148,Naomi RIley,w.riley@randatmail.com,"9767 waterbottle rd bayern, germany",793-8845-21,25
149,Carl Robinson,e.robinson@randatmail.com,"4338 compass way guangzhou, china",279-3796-42,25
150,Jasmine Harris,k.harris@randatmail.com,"6417 main st london, united kingdom",788-1555-05,25
151,Henry Wilson,a.wilson@randatmail.com,"1244 fairfax rd los angeles, ca",620-6846-27,26
152,Sam Sullivan,a.sullivan@randatmail.com,"4990 adidas ave riverbank, ca",693-8024-93,26
153,Madaline Watson,k.watson@randatmail.com,"5247 nike way portland, or",819-9458-92,26
154,Emily Watson,m.watson@randatmail.com,"4246 juggernaut dr seattle, wa",135-8112-28,26
155,Savana Brown,c.brown@randatmail.com,"4792 browntable ave rocky, co",689-6039-41,26
156,Tony Murray,j.murray@randatmail.com,"8982 goldenfence dr austin, tx",544-0151-75,26
157,Adele Warren,a.warren@randatmail.com,"7692 thegirl st miami, fl",760-3454-87,26
158,Amanda Gison,m.gibson@randatmail.com,"3277 similarity ave new york, ny",339-7801-80,26
159,James Andrews,e.andrews@randatmail.com,"3300 camry st newport, nj",951-0604-85,26
160,Adelaide Hill,f.hill@randatmail.com,"3310 burgers rd meadows, mi",957-6006-59,26
161,Paul Cole,a.cole@randatmail.com,"2248 waffles way toronto, canada",743-2923-57,26
162,Frederick Wright,d.wright@randatmail.com,"9699 cinderella ave lyon, france",795-7117-36,26
163,Albert Crawford,w.crawford@randatmail.com,"9768 waterbottle rd bayern, germany",704-4532-72,26
164,Melissa Richardson,s.richardson@randatmail.com,"4339 compass way guangzhou, china",136-4902-95,26
165,James Elliott,a.elliott@randatmail.com,"6418 main st london, united kingdom",641-7608-18,26
166,Byron Perkins,e.perkins@randatmail.com,"1245 fairfax rd los angeles, ca",423-2207-18,14
167,Stuart Evans,m.evans@randatmail.com,"4991 adidas ave riverbank, ca",647-7501-43,14
168,Wilson Roberts,g.roberts@randatmail.com,"5248 nike way portland, or",364-1168-91,14
169,Edith Wells,m.wells@randatmail.com,"4247 juggernaut dr seattle, wa",290-4786-55,14
170,Kristian Smith,p.smith@randatmail.com,"4793 browntable ave rocky, co",466-0371-68,14
171,Amber Wilson,v.wilson@randatmail.com,"8983 goldenfence dr austin, tx",436-6911-34,14
172,Adele Gibson,s.gibson@randatmail.com,"7693 thegirl st miami, fl",374-8693-43,14
173,Kristian Perkins,j.perkins@randatmail.com,"3278 similarity ave new york, ny",146-9261-30,14
174,Melanie Andrew ,a.andrews@randatmail.com,"3291 camry st newport, nj",754-9416-50,14
175,Clark Parker ,d.parker@randatmail.com,"3298 burgers rd meadows, mi",368-6941-02,14
176,James Murphy ,b.murphy@randatmail.com,"2249 waffles way toronto, canada",681-4405-27,14
177,Aida Warren,a.warren@randatmail.com,"9700 cinderella ave lyon, france",181-1457-15,14
178,Melissa Carter ,a.carter@randatmail.com,"9769 waterbottle rd bayern, germany",993-7229-98,14
179,Edwin Gray ,a.gray@randatmail.com,"4331 compass way guangzhou, china",891-5988-91,14
180,Fiona Carroll,s.carroll@randatmail.com,"6419 main st london, united kingdom",032-2853-38,14
181,Alina Johnson,p.johnson@randatmail.com,"1246 fairfax rd los angeles, ca",880-2485-41,15
182,David Thomas ,p.thomas@randatmail.com,"4992 adidas ave riverbank, ca",425-3203-33,15
183,William Reed ,d.reed@randatmail.com,"5249 nike way portland, or",549-6373-33,15
184,Sophia Cooper,v.cooper@randatmail.com,"4248 juggernaut dr seattle, wa",443-7007-08,15
185,Agata Thomas,m.thomas@randatmail.com,"4794 browntable ave rocky, co",227-5113-31,15
186,Edith Hall,a.hall@randatmail.com,"8984 goldenfence dr austin, tx",067-0368-38,15
187,Maya Gibson,e.gibson@randatmail.com,"7694 thegirl st miami, fl",001-1323-36,15
188,George Ribonson ,a.robinson@randatmail.com,"3279 similarity ave new york, ny",282-1156-67,15
189,Myra Hunt ,e.hunt@randatmail.com,"3302 camry st newport, nj",023-2884-39,15
190,Paul Grant,h.grant@randatmail.com,"3309 burgers rd meadows, mi",466-5311-38,15
191,Victoria Cole,a.cole@randatmail.com,"2250 waffles way toronto, canada",309-4804-41,15
192,Sawyer Ryan,e.ryan@randatmail.com,"9701 cinderella ave lyon, france",534-9180-30,15
193,Julia Henderson,n.henderson@randatmail.com,"9770 waterbottle rd bayern, germany",474-2398-70,15
194,Alexia Murphy,a.murphy@randatmail.com,"4341 compass way guangzhou, china",589-4488-25,15
195,Daniel Owens ,s.owens@randatmail.com,"6420 main st london, united kingdom",520-3409-51,15
196,Belinda Barnes,l.barnes@randatmail.com,"1247 fairfax rd los angeles, ca",881-7148-96,18
197,Adelaide Russell,d.russell@randatmail.com,"4993 adidas ave riverbank, ca",179-2142-99,18
198,Amanda Adams,e.adams@randatmail.com,"5250 nike way portland, or",987-4637-26,18
199,Albert Reed,l.reed@randatmail.com,"4249 juggernaut dr seattle, wa",984-7591-55,18
200,Sophia Carroll,r.carroll@randatmail.com,"4795 browntable ave rocky, co",641-6711-76,18
201,Tammy Gibson,t.gibbson@randatmail.com,"8983 goldenfence dr austin, tx",641-3451-76,18
